frame,background,x0,y0,intensity,theta,sigmax,sigmay,aspect,z,dbackground,dx0,dy0,dintensity,dtheta,dsigmax,daspect,sum_pixels,peak_Value,ROIx,ROIy
658,3266.28,236.625,194.207,96595,0,1.35328,1.3494,0.997138,9.00E+09,125.517,0.0382996,0.0381427,5989.25,0,0.0520452,0.040339,254769,11685,7,7
659,3259.2,236.387,194.181,105861,0,1.32952,1.36089,1.02359,9.00E+09,129.268,0.0367799,0.0375143,6156.75,0,0.0489781,0.0405741,263142,12571.1,7,7
660,3302.97,236.203,193.927,101090,0,1.32051,1.44639,1.09533,9.00E+09,158.474,0.0432492,0.0474514,7731.89,0,0.061641,0.0514548,260823,11726.6,7,7
661,3425.07,236.324,193.728,99899.1,0,1.30783,1.34324,1.02707,9.00E+09,143.236,0.0415146,0.0426491,6695.42,0,0.0555492,0.046538,266060,12475.7,7,7
662,3551.78,236.28,193.555,100277,0,1.25028,1.3053,1.04401,9.00E+09,120.073,0.0345323,0.0361091,5406.88,0,0.0445182,0.0411359,272891,13331,7,7
663,3523.89,236.269,193.485,105325,0,1.3278,1.37185,1.03317,9.00E+09,148.35,0.0416958,0.0432321,7087.21,0,0.0562209,0.0466468,275628,12726.6,7,7
664,3374.63,236.308,193.588,104632,0,1.34192,1.39816,1.04191,9.00E+09,122.373,0.035102,0.0367805,5952.19,0,0.0476664,0.0394061,267144,12250.4,7,7
665,3300.03,236.255,193.657,104197,0,1.29126,1.37331,1.06354,9.00E+09,154.268,0.0422296,0.0449989,7249.75,0,0.0569683,0.0497613,264040,12651.7,7,7
666,3608.68,236.373,193.615,90769.7,0,1.29047,1.30642,1.01236,9.00E+09,101.14,0.0328221,0.0332387,4631.86,0,0.0427259,0.0367438,266154,12177.7,7,7
667,3236.33,236.33,193.73,110460,0,1.47327,1.41599,0.961116,9.00E+09,162.982,0.0442881,0.0424526,8358.87,0,0.0644869,0.041702,265605,11663.5,7,7
668,3324.12,235.954,193.934,91720.6,0,1.37002,1.31551,0.960209,9.00E+09,131.031,0.041699,0.0400162,6195.58,0,0.0568887,0.041644,253184,11423.8,7,7
669,3402.9,235.901,193.935,102364,0,1.27005,1.38967,1.09419,9.00E+09,152.494,0.0409533,0.0448646,7134.69,0,0.0559994,0.0503383,267579,12633.6,7,7
670,3310.52,235.887,194.131,112125,0,1.28576,1.35269,1.05205,9.00E+09,146.69,0.0366246,0.0385581,6810.62,0,0.0494944,0.0426844,272792,13570.9,7,7
671,3455.69,235.845,194.329,126282,0,1.3539,1.33337,0.984835,9.00E+09,180.719,0.042047,0.0414343,8564.77,0,0.0570392,0.0436887,293384,14589,7,7
672,3627.99,235.805,194.371,97797.3,0,1.16807,1.24128,1.06268,9.00E+09,132.979,0.0376428,0.0400299,5628.96,0,0.0465911,0.0486112,274807,14363.1,7,7
673,3281.43,235.688,194.597,112180,0,1.3294,1.32008,0.992986,9.00E+09,159.487,0.0434168,0.0432284,7477.26,0,0.0568925,0.0465669,270563,13455.1,7,7
674,3433.83,235.704,194.727,105716,0,1.28758,1.31282,1.0196,9.00E+09,175.844,0.0480609,0.0490129,8053.79,0,0.0631933,0.054214,272486,13387.5,7,7
675,3450.87,235.87,194.834,108401,0,1.25528,1.31487,1.04747,9.00E+09,145.401,0.0376108,0.0394167,6571.04,0,0.0494421,0.0446173,276277,13903.6,7,7
676,3469.75,235.818,195.007,108897,0,1.20885,1.32152,1.0932,9.00E+09,170.54,0.0429357,0.0469613,7578.7,0,0.055723,0.0551649,277837,14318.7,7,7
677,3650.82,235.779,195.297,104597,0,1.19614,1.2724,1.06376,9.00E+09,146.474,0.0389994,0.0415129,6354.2,0,0.0492476,0.0492612,282541,14588.7,7,7
678,3386.11,235.706,195.413,118636,0,1.26009,1.31116,1.04053,9.00E+09,150.261,0.0365698,0.0381023,6808.04,0,0.0474206,0.043077,282838,14814.4,7,7
679,3115.21,235.516,195.655,136692,0,1.41875,1.41181,0.995104,9.00E+09,253.666,0.0566334,0.056216,12762.2,0,0.0795871,0.0573326,285134,13976.5,7,7
680,3309.7,235.478,195.783,126633,0,1.31069,1.35225,1.03171,9.00E+09,163.884,0.0382203,0.0393687,7709.24,0,0.0507602,0.0430201,286321,14681,7,7
681,3297.52,235.222,196.148,122759,0,1.29183,1.24455,0.963395,9.00E+09,189.997,0.0453001,0.0436208,8472.81,0,0.058245,0.0479764,283071,15449.8,7,7
682,3109.44,235.123,196.49,136450,0,1.38887,1.29797,0.934553,9.00E+09,216.83,0.0489773,0.0458086,10282.6,0,0.065297,0.0471812,286118,15156.2,7,7
683,3234.62,235.136,196.581,133037,0,1.34133,1.29399,0.96471,9.00E+09,209.142,0.0480168,0.0464277,9732.98,0,0.0628643,0.0494482,289036,15433.7,7,7
684,3163.96,235.002,196.682,134043,0,1.31519,1.3222,1.00533,9.00E+09,168.208,0.0362509,0.0364798,7814.3,0,0.0485343,0.0395015,287100,15432.1,7,7
685,2974.68,234.852,196.898,145379,0,1.34608,1.37892,1.02439,9.00E+09,184.972,0.0360386,0.0369297,8884.68,0,0.0503046,0.0391645,288554,15440.3,7,7
686,3218.52,234.715,197.047,132765,0,1.34059,1.25936,0.939406,9.00E+09,168.007,0.037809,0.0354678,7686.69,0,0.0494579,0.0377018,288707,15734.3,7,7
687,3326.91,234.443,197.314,134793,0,1.35369,1.26094,0.931478,9.00E+09,193.785,0.0451477,0.041883,8954.32,0,0.058165,0.0444318,295148,15895.2,7,7
688,3022.24,234.423,197.417,143811,0,1.34503,1.31193,0.975396,9.00E+09,189.193,0.040111,0.0390936,8884,0,0.0528494,0.0416344,289017,15993.1,7,7
689,3151.88,234.347,197.526,139022,0,1.33993,1.29145,0.963817,9.00E+09,122.816,0.0271675,0.0261991,5709.57,0,0.0353822,0.027974,290774,15938.2,7,7
690,3276.5,234.477,197.507,137210,0,1.29553,1.34414,1.03752,9.00E+09,207.969,0.045399,0.0471678,9712.09,0,0.0593297,0.0521707,294838,15817,7,7
691,3091.42,234.399,197.654,151865,0,1.34324,1.36506,1.01624,9.00E+09,184.55,0.0360219,0.0366065,8836.74,0,0.0487797,0.0390569,300085,16273.2,7,7
692,3251.08,234.301,197.735,142314,0,1.29191,1.26621,0.980105,9.00E+09,152.89,0.0315534,0.0309134,6884.03,0,0.0407308,0.0340479,299865,17097.3,7,7
693,3218.83,234.283,197.797,152246,0,1.35777,1.3423,0.988608,9.00E+09,221.463,0.0426146,0.0420997,10547.8,0,0.0581192,0.0443106,307208,16513.9,7,7
694,3337.77,234.2,197.968,152322,0,1.32146,1.29617,0.98086,9.00E+09,202.878,0.0386295,0.0378697,9345.24,0,0.0513447,0.0407827,313900,17491.3,7,7
695,3309.46,233.975,198.144,162878,0,1.31798,1.36322,1.03433,9.00E+09,197.13,0.0340903,0.0352863,9307.6,0,0.0468504,0.0381485,322515,17737.5,7,7
696,3244.06,233.685,198.424,167186,0,1.32294,1.36869,1.03458,9.00E+09,194.962,0.034212,0.0354645,9274.59,0,0.0461667,0.0383679,322675,17939.3,7,7
697,3376.29,233.569,198.585,169738,0,1.29986,1.36987,1.05386,9.00E+09,199.411,0.0352934,0.0373454,9437.63,0,0.0464938,0.0412497,331018,18547.6,7,7
698,3190.18,233.37,198.822,181219,0,1.37077,1.3687,0.998485,9.00E+09,213.566,0.0362227,0.0359656,10381.6,0,0.0489501,0.0378979,332732,18563,7,7
699,3203.11,233.26,198.893,176519,0,1.30603,1.3737,1.05182,9.00E+09,238.301,0.038113,0.0401012,11250,0,0.0520851,0.0437997,330570,18862.1,7,7
700,3291.31,233.197,199.065,174817,0,1.27381,1.39753,1.09713,9.00E+09,226.079,0.0356807,0.0391911,10627.9,0,0.0488714,0.0438789,333313,18920.5,7,7
701,3139.78,232.663,199.432,174803,0,1.23866,1.4306,1.15496,9.00E+09,204.094,0.0327769,0.038047,9614.59,0,0.04395,0.0440298,324842,18839.7,7,7
702,3276.26,232.313,200.199,176513,0,1.26029,1.43576,1.13923,9.00E+09,128.856,0.0243334,0.0289282,6389.6,0,0.0303502,0.033576,326103,18801.6,7,7
703,3189.35,232.153,200.758,189730,0,1.29785,1.45858,1.12384,9.00E+09,178.288,0.0278078,0.0317729,8773.4,0,0.0378208,0.0353508,339381,19140.8,7,7
704,3292.34,232.136,201.471,203392,0,1.2538,1.39305,1.11106,9.00E+09,160.43,0.0222394,0.0248237,7493.25,0,0.0297751,0.0283095,360801,21825.9,7,7
705,3569.6,232.245,201.805,202735,0,1.24611,1.42341,1.14229,9.00E+09,139.034,0.0202476,0.0234885,6616.79,0,0.0265597,0.0271858,371128,21760.9,7,7
706,3443.86,232.174,202.024,206124,0,1.26465,1.44532,1.14286,9.00E+09,206.504,0.0272065,0.0311602,9846.01,0,0.0379168,0.035235,371093,21391.8,7,7
707,3503.36,232.243,202.162,203433,0,1.20763,1.43708,1.19,9.00E+09,184.316,0.0244527,0.0291753,8562.15,0,0.0329644,0.0345314,371646,22159.6,7,7
708,3275.95,232.241,202.404,203789,0,1.26752,1.41618,1.11728,9.00E+09,196.021,0.0270607,0.0303601,9284.09,0,0.0367406,0.0342854,360125,21344.7,7,7
